地区,经济,工业,服务
北京市,36.77597839,969.1670898,0.002834139
东城区,21.55315094,885.9428927,0.874168781
西城区,62.44683488,730.2807753,0.925330844
朝阳区,99.39286465,877.2251943,0.340361795
丰台区,70.88167243,764.0301849,0.456431514
石景山区,17.34172147,681.1853714,0.50600833
海淀区,42.66529802,259.6397087,0.147740949
门头沟区,42.82644991,852.1957518,0.588418775
房山区,79.60879588,148.0685973,0.250858316
通州区,87.64454919,623.1313801,0.52413863
顺义区,80.00003369,230.4128478,0.089777943
昌平区,40.09412338,844.4879866,0.120815882
大兴区,20.77663729,568.2040053,0.850931621
怀柔区,72.50536806,733.4146171,0.043905216
平谷区,66.56673166,400.4264138,0.199137255
密云区,68.4466718,806.3883574,0.247140143
延庆区,49.99888984,62.40556486,0.488607749
天津市,32.8862269,993.7732217,0.637201816
和平区,76.85561918,182.7540217,0.284061484
河东区,79.27859692,400.9184254,0.382605597
河西区,11.28580501,232.8192022,0.416982894
南开区,53.99843433,837.9875293,0.958347752
河北区,33.90219507,858.4262623,0.57477988
红桥区,92.93699769,314.8341271,0.785225475
东丽区,42.31157941,951.2147126,0.18615765
西青区,11.27294054,910.4042846,0.183303956
津南区,90.56877306,114.1025773,0.341925025
北辰区,27.01295613,88.5678349,0.643603407
武清区,40.5205105,83.3247497,0.663562451
宝坻区,43.55318355,518.5790607,0.682131436
滨海新区,87.4434254,882.7968847,0.804490544
宁河区,18.57893326,95.07705812,0.995209315
静海区,34.60512239,441.3692886,0.703982884
蓟州区,10.9240863,130.7433773,0.068135561
河北省,10.52755861,892.9027323,0.860146853
石家庄市,63.35238658,468.0801048,0.674989953
长安区,40.88556712,627.4592604,0.220107569
桥西区,39.56053059,596.3126352,0.241458307
新华区,43.43340565,969.9839816,0.098471002
井陉矿区,68.5490602,958.5385798,0.98090085
裕华区,16.93211888,623.0880524,0.876423735
藁城区,59.65201499,194.1396061,0.945264511
鹿泉区,98.75017937,28.64007742,0.508647139
栾城区,11.33016331,730.6240068,0.030647903
井陉县,96.14566595,336.7334701,0.44820733
正定县,76.90695434,400.4758429,0.131199062
行唐县,82.16474877,152.240773,0.46648626
灵寿县,83.0398303,533.4258123,0.576608438
高邑县,59.21366233,303.6541049,0.032933408
深泽县,98.16720329,478.2345341,0.689958549
赞皇县,52.8076128,494.5848202,0.127338234
无极县,53.8445314,893.7149116,0.257939697
平山县,90.73211807,107.0424872,0.088797475
元氏县,78.91583219,299.04266,0.346976286
赵县,63.57391644,207.9943947,0.494135464
辛集市,68.32156778,280.4641728,0.832291188
晋州市,47.69308785,338.1789056,0.267554308
新乐市,78.60430356,952.147809,0.386219386
唐山市,91.71328682,67.9541357,0.611406772
路南区,21.71404512,357.708435,0.290950305
路北区,84.33275843,82.90303179,0.721897052
古冶区,74.6656712,496.2289713,0.412149175
开平区,56.09127596,650.929176,0.779343281
丰南区,87.19867236,671.9318142,0.899965045
丰润区,28.4955794,804.5222155,0.548281716
曹妃甸区,87.03388725,641.3243939,0.13911698
滦县,25.74570464,329.2267917,0.706926004
滦南县,89.13940662,972.5817011,0.554053028
乐亭县,34.91552323,329.2385065,0.247729751
迁西县,27.55760679,899.1258974,0.361987624
玉田县,41.96253547,827.190719,0.925330652
遵化市,22.31073578,28.78287457,0.883566674
迁安市,21.74569931,2.540595058,0.192489384
秦皇岛市,26.52790783,803.8005408,0.614225113
海港区,52.48053993,522.1838959,0.029960396
山海关区,87.25620041,717.1385087,0.191865952
北戴河区,67.37106059,901.6834444,0.023248807
抚宁区,29.98011191,59.7738639,0.772559867
青龙满族自治县,74.1478441,83.47113837,0.271704905
昌黎县,56.3057396,657.6094604,0.149400927
卢龙县,47.00507434,751.9709421,0.387299415
邯郸市,66.88039544,438.5396074,0.32026345
邯山区,71.93243766,970.8584094,0.212402532
丛台区,31.17055384,360.6737796,0.388477715
复兴区,21.99615126,100.9593552,0.200233629
峰峰矿区,89.28485613,241.0841794,0.541138288
肥乡区,58.51142622,447.1585159,0.575207683
永年区,58.19661341,905.5483398,0.57934927
临漳县,56.46129915,839.9803675,0.304720433
成安县,23.77282978,340.720651,0.926778063
大名县,34.70149593,258.0205059,0.678907189
涉县,49.89380599,963.4528581,0.431249196
磁县,61.25785515,710.2005093,0.490827174
邱县,16.91184422,378.0314769,0.491164365
鸡泽县,84.22073181,926.2432864,0.933826622
广平县,29.50835933,372.5888098,0.705856018
馆陶县,93.62632891,219.2601048,0.657684887
魏县,65.38008116,950.2773634,0.347900344
曲周县,51.48927428,202.4126093,0.391660962
武安市,66.46760023,544.7105934,0.574506771
邢台市,95.10692545,557.3419922,0.811671896
桥东区,45.1917219,704.4581901,0.812580964
桥西区,69.54780192,528.6891278,0.802905659
邢台县,56.34810302,460.0795736,0.545543772
临城县,52.04940171,611.5072727,0.226263895
内丘县,32.74011705,701.4608784,0.745900363
柏乡县,82.70373349,552.5337439,0.695078706
隆尧县,59.12665198,701.9931108,0.302852875
任县,94.84105137,467.0298401,0.666989596
南和县,60.89104403,544.0387865,0.556476202
宁晋县,34.97560549,661.3919405,0.272376014
巨鹿县,84.44613291,281.139362,0.913794081
新河县,41.13942152,585.8383808,0.400423039
广宗县,52.38594038,958.4920936,0.122765498
平乡县,16.30377655,978.3791994,0.976224973
威县,65.06022498,218.4770896,0.182298525
清河县,39.33866698,38.95361792,0.529266285
临西县,20.5665909,178.8606883,0.586437443
南宫市,40.44754775,571.9561518,0.23772022
沙河市,22.90559847,665.9643282,0.573827686
保定市,95.83095886,184.4853008,0.183824829
竞秀区,73.12783055,954.2843159,0.889213945
莲池区,62.62681788,157.8270776,0.92263794
满城区,68.21299566,100.8919588,0.189795364
清苑区,43.85527292,250.3011911,0.613943993
徐水区,25.94875103,868.4269054,0.754000179
涞水县,50.37897584,168.575057,0.20941177
阜平县,72.65054331,546.4430339,0.42990586
定兴县,96.11697505,716.955262,0.663748022
唐县,99.04386239,318.4535466,0.750908242
高阳县,96.22146917,376.038025,0.066212019
容城县,22.82194987,406.9513366,0.684051738
涞源县,17.82906626,596.9007717,0.241838485
望都县,54.44861429,722.8389881,0.378032461
安新县,10.87995563,873.9252755,0.968082915
易县,34.35527346,177.2559103,0.175097306
曲阳县,52.9140217,37.71671071,0.227183837
蠡县,73.56186937,366.3906165,0.309904957
顺平县,40.39012235,427.6919342,0.131215805
博野县,19.83160885,658.3175054,0.156786891
雄县,83.76364216,731.0197678,0.080446867
涿州市,63.31188552,393.7079613,0.832951244
定州市,97.3464566,711.8069225,0.881935281
安国市,62.10157443,627.065972,0.710692709
高碑店市,99.57808508,465.6496827,0.698269952
张家口市,34.23002435,253.0409436,0.74913917
桥东区,94.61074036,823.6683134,0.832867565
桥西区,66.62439113,564.3985649,0.558051061
宣化区,30.66344461,160.6128054,0.490138322
下花园区,53.58570878,847.022623,0.358075319
